City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,corn island,12.1694,-83.0418,301.09,79,4,8.18,NI,1712363896
167,faya-largeau,17.9257,19.1043,301.55,12,40,8.5,TD,1712363896
168,vorgashor,67.5833,63.95,254.72,94,100,7.6,RU,1712363896
169,copala,16.65,-98.9833,298.18,69,4,2.05,MX,1712363896
170,prabumulih,-3.45,104.25,297.36,98,100,1.01,ID,1712363897
171,altinekin,38.3078,32.8686,283.46,63,36,2.57,TR,1712363897
172,codrington,-38.2667,141.9667,288.94,78,100,1.59,AU,1712363897
173,roma,43.2128,-75.4557,276.94,87,100,5.14,US,1712363764
174,santa cruz,-17.8,-63.1667,300.85,78,100,1.03,BO,1712363761
175,rudnichnyy,59.617,52.4703,265.06,63,16,2.6,RU,1712363897
176,kayangel,8.0823,134.7173,301.0,79,6,9.86,PW,1712363897
177,koulikoro,14.0,-7.75,304.31,24,61,1.95,ML,1712363898
178,arno,60.1167,18.6333,273.03,96,100,1.86,SE,1712363898
179,la foa,-21.7108,165.8276,302.14,59,100,1.82,NC,1712363898
180,mirnyy,62.5353,113.9611,251.06,93,100,4.02,RU,1712363898
181,talnakh,69.4865,88.3972,262.09,94,100,9.95,RU,1712363898
182,waynesboro,38.0685,-78.8895,279.82,66,100,4.12,US,1712363724
183,chonchi,-42.6128,-73.8092,285.71,93,76,0.95,CL,1712363898
184,leava,-14.3,-178.1667,301.17,78,100,2.65,WF,1712363898
185,pangody,65.85,74.4859,253.78,90,11,6.64,RU,1712363899
186,crane,31.3974,-102.3501,298.03,22,87,12.18,US,1712363899
187,sao joao da barra,-21.6403,-41.0511,297.2,84,1,3.16,BR,1712363899
188,hammerfest,70.6634,23.6821,263.4,67,96,0.0,NO,1712363899
189,hermanus,-34.4187,19.2345,286.93,77,100,8.31,ZA,1712363899
190,khandyga,62.6667,135.6,270.5,86,100,0.68,RU,1712363899
191,port saint john's,-31.6229,29.5448,291.41,85,100,2.49,ZA,1712363899
192,rangkasbitung,-6.3591,106.2494,302.25,86,79,2.52,ID,1712363900
193,cartagena,10.3997,-75.5144,301.94,79,20,5.14,CO,1712363630
194,usogorsk,63.4106,48.6872,253.89,100,65,1.32,RU,1712363900
195,centar zupa,41.4681,20.5589,283.19,83,3,0.59,MK,1712363900
196,kruisfontein,-34.0033,24.7314,287.53,72,100,3.6,ZA,1712363900
197,aykhal,66.0,111.5,249.75,94,67,5.16,RU,1712363900
198,constantia,44.1833,28.65,282.53,66,0,2.26,RO,1712363829
199,qamdo,31.1667,97.2333,275.42,63,100,2.68,CN,1712363900
200,dalandzadgad,43.5708,104.425,281.78,26,1,1.07,MN,1712363901
201,la paz,-16.5,-68.15,285.14,81,40,3.6,BO,1712363853
202,brisas de zicatela,15.8369,-97.0419,300.44,78,0,3.09,MX,1712363901
203,lagos,6.5833,3.75,302.33,89,100,3.2,NG,1712363676
204,grantsville,40.5999,-112.4644,281.26,54,100,6.69,US,1712363901
205,muscat,23.6139,58.5922,294.16,44,0,2.01,OM,1712363901
206,mineiros,-17.5694,-52.5511,295.34,82,55,1.65,BR,1712363782
207,caleta de carquin,-11.0925,-77.6267,295.54,86,100,4.31,PE,1712363901
208,champerico,14.3,-91.9167,302.45,72,100,2.16,GT,1712363901
209,kulhudhuffushi,6.6221,73.07,302.35,75,100,4.22,MV,1712363902
210,touros,-5.1989,-35.4608,299.68,84,89,2.86,BR,1712363705
211,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,74,40,6.71,RU,1712363902
212,holualoa,19.6228,-155.9522,299.06,83,40,6.69,US,1712363902
213,vilyuchinsk,52.9306,158.4028,275.3,67,31,4.5,RU,1712363902
214,whangarei,-35.7317,174.3239,290.07,94,98,3.35,NZ,1712363677
215,beneditinos,-5.45,-42.3667,297.28,94,37,1.31,BR,1712363902
216,tateyama,34.9833,139.8667,287.09,94,75,2.06,JP,1712363902
217,bac lieu,9.285,105.7244,302.4,61,90,4.49,VN,1712363903
218,meiningen,50.5679,10.4152,288.6,93,100,1.19,DE,1712363903
219,maxixe,-23.8597,35.3472,297.4,88,100,2.21,MZ,1712363903
220,ribeira grande,38.5167,-28.7,285.8,77,10,2.24,PT,1712363903
221,kyzyl-suu,42.3414,78.0056,278.23,46,0,4.41,KG,1712363903
222,tarauaca,-8.1614,-70.7656,299.09,81,81,1.14,BR,1712363903
223,nagqu,31.5,92.0,272.8,41,100,7.09,CN,1712363903
224,nemuro,43.3236,145.575,278.1,61,0,5.46,JP,1712363904
225,neryungri,56.6709,124.6491,260.48,91,100,8.21,RU,1712363904
226,yinchuan,38.4681,106.2731,286.63,32,13,2.28,CN,1712363904
227,laminusa,5.5549,120.9136,300.96,77,100,2.44,PH,1712363904
228,bambang,16.3833,121.1,302.53,43,9,2.08,PH,1712363904
229,huarmey,-10.0681,-78.1522,295.98,86,100,4.43,PE,1712363904
230,utrik,11.2278,169.8474,300.17,76,100,8.62,MH,1712363904
231,pechora,65.1472,57.2244,261.47,92,99,4.91,RU,1712363904
232,dubbo,-32.25,148.6167,291.22,94,75,3.09,AU,1712363718
233,le port,-20.9373,55.2919,298.15,84,2,2.19,RE,1712363905
234,galesong,-5.3166,119.3661,300.16,77,22,2.52,ID,1712363905
235,arbroath,56.5632,-2.5874,280.19,96,100,1.33,GB,1712363677
236,santa ana,33.7456,-117.8678,287.94,54,75,6.69,US,1712363905
237,midvagur,62.0511,-7.1939,276.61,52,75,11.32,FO,1712363905
238,hargeysa,9.56,44.065,294.07,77,6,0.86,SO,1712363905
239,kuusamo,65.9667,29.1833,264.17,79,100,3.6,FI,1712363905
240,laguna,38.421,-121.4238,286.54,66,0,4.63,US,1712363906
241,cururupu,-1.8283,-44.8683,297.11,99,61,0.38,BR,1712363906
242,ouadda,8.0777,22.4007,295.26,81,100,2.13,CF,1712363906
243,queenstown,-31.8976,26.8753,284.72,90,100,3.27,ZA,1712363906
244,minas de marcona,-15.2119,-75.1103,290.72,88,72,5.59,PE,1712363906
245,zelenoborskiy,66.845,32.3622,263.17,94,100,2.08,RU,1712363906
246,bikenibeu village,1.3673,173.1241,303.13,79,40,4.63,KI,1712363906
247,kristiansund,63.1115,7.732,274.51,75,100,0.51,NO,1712363906
248,tucuma,-0.1833,-50.05,298.55,92,90,3.2,BR,1712363907
249,susuman,62.7833,148.1667,257.03,88,72,0.89,RU,1712363907
250,tralee,52.2704,-9.7026,285.85,90,100,11.2,IE,1712363907
251,mitchell,43.7094,-98.0298,287.14,35,0,8.75,US,1712363652
252,armacao de buzios,-22.7469,-41.8817,299.18,87,0,1.69,BR,1712363905
253,grand-bourg,15.8835,-61.3148,301.26,79,1,6.15,GP,1712363907
254,mahroni,24.5862,78.7288,300.98,26,100,1.49,IN,1712363907
255,agat village,13.3886,144.6585,302.24,85,100,5.14,GU,1712363907
256,horta,38.5333,-28.6333,285.38,77,12,2.24,PT,1712363907
257,great bend,38.3645,-98.7648,294.22,32,0,9.26,US,1712363908
258,kalispell,48.1958,-114.3129,281.64,79,100,4.63,US,1712363890
259,deqen,29.9618,90.7188,274.52,57,5,2.05,CN,1712363908
260,penhalonga,-18.8911,32.6978,289.13,97,33,1.13,ZW,1712363908
261,hof,50.3167,11.9167,287.45,72,100,3.09,DE,1712363908
262,bridgewater,44.3835,-64.5155,276.97,89,100,5.14,CA,1712363908
263,lautoka,-17.6167,177.4667,304.07,55,20,1.03,FJ,1712363908
264,sisimiut,66.9395,-53.6735,265.99,66,100,5.9,GL,1712363909
265,kokologo,12.1897,-1.8856,305.07,29,99,3.6,BF,1712363909
266,kattivakkam,13.2167,80.3167,300.2,85,14,5.31,IN,1712363909
267,los frentones,-26.4077,-61.4137,295.51,99,100,1.22,AR,1712363909
268,baruun-urt,46.6806,113.2792,278.65,52,98,8.02,MN,1712363909
269,brak,27.5496,14.2714,293.83,25,6,5.81,LY,1712363909
270,borogontsy,62.6683,131.1683,261.65,81,100,3.97,RU,1712363830
271,viedma,-40.8135,-62.9967,288.3,69,0,4.65,AR,1712363624
272,bowen,-20.0167,148.2333,299.86,83,92,5.91,AU,1712363910
273,tuy hoa,13.0833,109.3,300.07,65,4,0.68,VN,1712363910
274,abu qurqas,27.9312,30.8384,291.07,54,0,6.01,EG,1712363910
275,jan kempdorp,-27.9225,24.8305,293.94,41,80,3.06,ZA,1712363910
276,afif,23.9065,42.9172,294.32,55,33,2.28,SA,1712363910
277,kamianske,48.5113,34.6021,280.26,56,100,2.5,UA,1712363910
278,nuuk,64.1835,-51.7216,270.49,74,20,4.12,GL,1712363793
279,yaritagua,10.08,-69.1261,297.29,89,67,2.01,VE,1712363751
280,humaita,-7.5061,-63.0208,297.61,93,99,0.3,BR,1712363911
281,galliano,29.4422,-90.2992,297.15,64,0,3.6,US,1712363878
282,necochea,-38.5473,-58.7368,288.12,76,0,6.99,AR,1712363821
283,micheweni,-4.9667,39.8333,299.95,85,98,3.71,TZ,1712363911
284,ust-nera,64.5667,143.2,262.82,86,87,1.51,RU,1712363911
285,tual,-5.6667,132.75,301.31,77,56,1.62,ID,1712363911
286,mangrol,21.1167,70.1167,299.18,69,100,4.1,IN,1712363912
287,loiza,18.4313,-65.8802,301.2,80,1,2.94,PR,1712363912
288,port lincoln,-34.7333,135.8667,290.11,64,19,2.8,AU,1712363912
289,sinabang,2.4803,96.3801,300.66,81,100,0.75,ID,1712363912
290,nakano,36.75,138.3667,286.9,74,98,1.98,JP,1712363912
291,el sauzal de rodriguez,31.9,-116.6833,285.6,68,30,9.85,MX,1712363912
292,aswan,24.0934,32.907,298.58,14,0,5.74,EG,1712363912
293,tambopata,-12.7333,-69.1833,298.57,94,100,1.27,PE,1712363912
294,lubang,13.8584,120.124,300.54,79,8,8.05,PH,1712363913
295,geraldton,-28.7667,114.6,294.38,83,75,2.57,AU,1712363913
296,kidal,18.4411,1.4078,301.42,7,0,3.68,ML,1712363913
297,franceville,-1.6333,13.5836,294.98,98,100,1.32,GA,1712363913
298,mongo,12.1844,18.693,305.16,20,100,2.0,TD,1712363913
299,sao vicente,-23.9631,-46.3919,299.41,26,5,1.06,BR,1712363408
300,tocopilla,-22.092,-70.1979,294.65,79,58,3.52,CL,1712363913
301,baotou,40.6522,109.8222,285.57,23,1,1.4,CN,1712363914
302,slutsk,53.0274,27.5597,280.72,92,100,2.99,BY,1712363914
303,moramanga,-18.9333,48.2,291.56,96,86,0.49,MG,1712363914
304,tyukhtet,56.5389,89.3011,275.71,99,100,2.02,RU,1712363914
305,sangueya,10.7,-14.3667,297.49,89,100,2.24,GN,1712363914
306,farasan,16.7022,42.1183,302.17,74,100,0.49,SA,1712363914
307,baidoa,3.1138,43.6498,298.15,82,26,4.76,SO,1712363914
308,tobelo,1.7284,128.0095,300.94,84,95,3.14,ID,1712363914
309,anadyr,64.75,177.4833,256.43,77,0,3.0,RU,1712363915
310,kalaleh,37.3807,55.4916,283.93,82,0,0.0,IR,1712363915
311,carutapera,-1.195,-46.02,298.65,92,55,2.76,BR,1712363915
312,nova sintra,14.8667,-24.7167,296.53,77,89,3.11,CV,1712363915
313,egilsstadir,65.2653,-14.3948,268.1,86,100,2.06,IS,1712363915
314,morehead city,34.7229,-76.726,288.15,69,75,4.63,US,1712363915
315,ankang,32.68,109.0172,288.52,75,100,0.51,CN,1712363915
316,kuala kangsar,4.7667,100.9333,299.11,93,10,0.95,MY,1712363915
317,portrush,55.1959,-6.6493,283.49,92,100,10.56,GB,1712363916
318,peniche,39.3558,-9.3811,291.64,87,100,5.53,PT,1712363916
319,sydney,-33.8679,151.2073,298.88,71,20,4.63,AU,1712363399
320,toulepleu guere,6.574,-8.4259,296.41,98,100,1.15,CI,1712363916
321,labytnangi,66.6572,66.4183,255.03,77,85,5.73,RU,1712363916
322,portland,45.5234,-122.6762,284.64,77,75,2.57,US,1712363620
323,trinity beach,-16.7888,145.6968,306.51,74,99,3.09,AU,1712363917
324,klyuchi,52.2667,79.1667,280.68,73,74,2.22,RU,1712363917
325,luanco,43.6152,-5.7934,294.86,60,100,3.76,ES,1712363917
326,oum hadjer,13.2954,19.6966,304.36,9,96,3.57,TD,1712363917
327,remire-montjoly,4.9167,-52.2667,301.17,83,75,4.63,GF,1712363917
328,belmonte,-15.8631,-38.8828,298.7,84,0,2.9,BR,1712363917
329,gargalianoi,37.0667,21.6333,287.79,69,12,2.45,GR,1712363917
330,ghat,24.9647,10.1728,295.3,10,0,0.79,LY,1712363918
331,villa canas,-34.0057,-61.6076,290.34,81,0,3.72,AR,1712363918
332,iguape,-24.7081,-47.5553,297.43,86,49,3.19,BR,1712363918
333,kone,-21.0595,164.8658,304.31,55,83,3.62,NC,1712363918
334,dadukou,26.5479,101.7054,293.55,41,5,0.8,CN,1712363918
335,fuzesabony,47.75,20.4167,288.96,82,100,2.21,HU,1712363918
336,batticaloa,7.7102,81.6924,299.24,85,100,1.4,LK,1712363918
337,zmeinogorsk,51.1567,82.195,278.02,97,90,2.07,RU,1712363919
338,mount pearl,47.5166,-52.7813,271.52,94,100,6.17,CA,1712363649
339,ketchikan,55.3422,-131.6461,278.41,87,100,5.14,US,1712363707
340,solnechnyy,50.7214,136.6319,272.06,66,100,5.47,RU,1712363919
341,yuzhno-kurilsk,44.0306,145.8556,278.91,62,0,4.81,RU,1712363919
342,kodinsk,58.6881,99.1844,271.17,94,97,2.15,RU,1712363919
343,kununurra,-15.7667,128.7333,301.14,51,100,3.6,AU,1712363794
344,hazorasp,41.3194,61.0742,282.06,64,0,3.12,UZ,1712363920
345,palikir - national government center,6.9248,158.1611,303.62,66,75,5.14,FM,1712363920
346,karachi,24.9056,67.0822,297.05,53,0,2.57,PK,1712363901
347,la tuque,47.4334,-72.7824,277.29,70,100,4.63,CA,1712363920
348,kanel,15.4916,-13.1763,308.15,26,0,5.14,SN,1712363920
349,fisterra,42.9049,-9.2629,286.34,92,100,14.4,ES,1712363920
350,tera,14.0078,0.7531,304.44,12,32,2.49,NE,1712363920
351,dogubayazit,39.5469,44.0842,281.72,70,100,1.62,TR,1712363920
352,verkhnevilyuysk,63.4453,120.3167,255.41,91,100,1.75,RU,1712363921
353,maintirano,-18.0667,44.0167,299.86,84,0,3.89,MG,1712363921
354,west end,26.6833,-78.9667,294.14,41,0,2.3,BS,1712363921
355,kiruna,67.8557,20.2251,262.66,79,100,3.6,SE,1712363921
356,troitsk,54.0979,61.5773,277.6,94,100,1.34,RU,1712363921
357,boysun,38.2061,67.1986,283.41,62,100,2.73,UZ,1712363921
358,namibe,-15.1961,12.1522,296.61,72,100,2.28,AO,1712363921
359,banda aceh,5.5577,95.3222,300.73,78,100,3.43,ID,1712363921
360,kikwit,-5.041,18.8162,294.31,94,100,0.5,CD,1712363922
361,sen monorom,12.45,107.2,299.37,65,96,1.26,KH,1712363922
362,nouadhibou,20.931,-17.0347,291.07,92,99,8.0,MR,1712363922
363,tshabong,-26.05,22.45,296.2,41,14,2.66,BW,1712363922
364,puerto baquerizo moreno,-0.9,-89.6,297.3,85,96,4.12,EC,1712363922
365,hasaki,35.7333,140.8333,285.53,91,100,2.92,JP,1712363922
